0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	37,3 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	46,6 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	58,3 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	46,6 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	72,8 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	58,3 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
29,8 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	46,6 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	37,3 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	58,3 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	46,6 , 	0,0 , 	72,8 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	58,3 , 	0,0 , 	0,0 , 	0,0 , 	58,3 , 	0,0 , 	58,3 , 	0,0 , 	0,0 , 	0,0 , 	91,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	46,6 , 	0,0 , 	0,0 , 	0,0 , 	72,8 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	37,3 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	58,3 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	46,6 , 	0,0 , 	72,8 , 	0,0 , 	0,0 , 	0,0 , 	46,6 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	58,3 , 	0,0 , 	91,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	72,8 , 	0,0 , 	0,0 , 	0,0 , 	72,8 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	113,8 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	142,2 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	46,6 , 	0,0 , 	0,0 , 	0,0 , 	29,8 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	58,3 , 	0,0 , 	0,0 , 	0,0 , 	37,3 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	37,3 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	113,8 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	91,0 , 	0,0 , 	0,0 , 	0,0 , 	91,0 , 	0,0 , 	142,2 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	113,8 , 	0,0 , 	0,0 , 	0,0 , 	113,8 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	177,8 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	37,3 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	46,6 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	222,2 , 	0,0 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	277,8 , 	0,0 , 	177,8 , 	
0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	0,0 , 	142,2 , 	0,0 , 	0,0 , 	0,0 , 	222,2 , 	0,0 , 	
